id,prompt,answer
ts12_26,"Yeah. So it sounds like from what you said. It sounds like there's two levels of benefit. There's the main benefit, which is that it's protecting your children's health but also a little more broadly, you know you brought up again the protective benefit for the community.","Yeah, that's it. Yeah, I think that wider benefit then too, to the kind of surrounding family and,you know, other people they might come in contact with as well in terms of not being able to then carry it in infect other people as well. Yeah, yeah."
ts12_27,"So what do you think the downsides are of having your child get the flu vaccine? and downsides doesn't specifically need to be adverse reactions. You know, it can include that. But it could be anything, you know about the process that is not, you know, not positive.","Yeah, and I don't think there's many downsides to be honest. I'm, I'm all for things and screening, to be honest. But I suppose the only, the only downside really is there are probably the the acute issues around, the unpleasentness of it, if it's a jab, then obviously you know that's not pleasant for them. And I know my eldest had the nasal spray, can't remember when it was no actually, it must be getting on from... Yeah, must have been like last October, I think, probably around that sort of time September, October. And that's seemed a lot better. It wasn't too intrusive, she was absolutely fine with it. A lot better than you know the jabs and things like that. So there wasn't any downsides, from my point of view in terms of its administration, it was absolutely fine. The only other downside. I guess it's just a little bit of the inconvenience of having to make the appointment to physically go to the to the doctors and the GP. You know, to make time to be able to go and do it. You know, but I'm quite lucky that I work quite flexibly and you know either me or my or my wife can can usually make the time to take her along. There's usually not too many issues with that really so they're the only only downsides I can see really."
ts12_28,"Yeah. Um, so you mentioned that when you took your daughter to get the vaccine this year that you had a little bit of a conversation with the GP about the vaccine or with me, you know, whoever was administering the vaccine. Can you tell me a little bit more about that conversation? Was that just, did you have any questions that you asked at that time, or was it just quite general?","Just quite general, to be honest. It was just a routine kind of a bit of an explanation about the jab and the fact that it's not a live, not live virus? I forget how it works exactly now. But there's a bit of an explanation about the type of vaccine it was and that it wouldn't give anyone the flu and that there might be a little bit of a side effect in terms of a sniffily nose, maybe a slight, slight temperature. And she just went through, you know, some of the possible symptoms and side effects. Basically, and not to be concerned about that. Just a bit of an explanation about the process, about how the the nasal spray works. And then it was just putting my daughter at ease really. Just, just getting her comfortably and just get ready to, to inhale it really. Um, but other than that, I don't think there was a particularly lengthy conversation from what I remember. I didn't really have any major questions or concerns that I needed to have clarified. You know a little bit about it and how it worked and and how it was administered so. I didn't feel the need to ask any further questions. So it was quite a brief conversation, we just go through the process and then and then have it, the nasal spray, delivered."
ts12_29,"Yeah, absolutely. Um, so. Can you walk me through the process you went through to get the vaccine, to get your daughter vaccinated this year? So, you know, things like how did you know that she needed to be vaccinated, once you found out that she was eligible for the vaccine, how did you go about getting an appointment kind of anything, anything you can tell me about the process of actually getting it?","Well, from what I remember, I think it was just a letter from the GP to indicate that it was due. Amd we just basically need to to to make an appointment. So literally, letter, landed on the doorstep, made a note of it, rung the GP, made the appointment and I think we got we got in pretty quickly. And so it was just a case of just of actually making arrangements to actually work around the appointments, because it was an early morning appointment which suited me quite well. I work in the in the town anyway, so it was relatively easy. It just meant that I could go into work a little later. I think if I remember rightly, it was on a day where my mom would normally babysit so she'd actually followed us to the appointment and then then she took my daughter home afterwards, which meant that I could go straight to work. So there's a little bit of kind of logistics required to when to make the appointment and then to make arrangements for childcare and things like that, then get to work. If I remember rightly my mum was watching her that day, that meant I could basically take her to the appointment, go in with her. That was a dead quick and straightforward process sit in the waiting room and then going along and and having the appointment and then she just jumped back in with my mum, they took them home and I went to work. So that was the process. Basically, it was quite straightforward. It just needed a bit of arrangement in terms of child care really."
ts12_30,"Yeah, that does sound like it was quite straightforward. So before you got that letter, were you aware that she was eligible to be vaccinated or was it because you received this latter that you realized that there was something you could do?","I think the letter served as a bit of a reminder, and I may have forgotten or not got round to it as quickly if I didn't get the letter as a reminder. I may have forgotten. Yeah, we're we're aware that she was eligible for it, and that it would be due at some point. She had it in the previous year. So I think from that perspective, we knew it was coming round, kind of seen it done it before. The year before she had the nasal spray as well. But I can't remember exactly what year that came in and where the change from a jab to the to the nasal spray was. But, um, but, yeah, we were aware that it was kind of comming round. And again, we'll know this kind of in September as well. So we'll be prepared for that. But I think the letter is helpful. It just serves as a bit of a reminder and a bit of, a bit of motivation to make sure we get our boot in basically."
ts12_31,"Yeah, that makes sense. Um so got that letter and you read it and it said, you know, she's due for a flu vaccine. Was that something you were like, yes, she is definitely going to have this vaccine. You know, will call the GP. Now, or is it something you're more like well you know it's we'll see if we got around to it. Essentially, how much of a priority was it for you when you got a letter?","Yeah, it was, it was probably a bit in the in between those two parameters, really. I think, I don't think it was a case of um ""I'll ring in immediately and book it in right this second."" I think we did probably, it was probably just other stuff going on. So probably didn't get round to it straight away. It might have been a few days or a week or so. I think the intention was always that we would get her booked in for it, but there wasn't a massive sense of urgency for it. I don't think, because it was probably quite early in the in the season as well. I think the letters probably came around in about September and obviously you don't often see a big spike until kind of October, November time. So I think I was aware that, you know, it's best to get it sooner rather than later. Obviously, the sooner you get it, the better. But I don't think I was kind of rushing to get it done immediately that I think that was quite happy to sit on it for a week or so."
ts12_32,"Yeah, but it was something like that you knew you wanted to do it wasn't something you wanted to think over?","Yeah, I'd say so. Its something we see as important and still something I would like to do. That probably comes down to my role as well. You know, I think, from a public health perspective, we always advocate for these sorts of things. So I like to try and you know lead by example as well. I feel a bit of a hypocrite. If I didn't so, yeah. So, I suppose from that perspective I felt like, yeah, it's important. I'll get definitely get around to it at some point there was never a question of, kind of, not to get into it."
ts12_33,"Yeah. Um, so that sort of leads me and kind of the last thing I wanted to talk about, which is just to get an idea for your thinking around kind of vaccination as a whole. So have your children received like the standard routine childhood vaccinations?","They have, yes."
ts12_34,"And can you explain a little bit to me about how you decided that they would receive those vaccinations. Was it something you know did you feel like there was even a decision to be made there at all, or was it something that you just sort of always wanted to do?","Um, yeah, I mean, again, I suppose. In a similar vein. I would always see it is important. I understand the evidence base and the importance of it.  I get frustrated and annoyed by some of the theories and conspiracies, you'll read online about vaccines and some other bizzare kind of theories and issues behind some of that. That can be frustrating sometimes, from a public health perspective, that a lot of the fake news and things like that that circulate, so it was never really a decision. I think it was always just something that we would always just get done cause we understand the, kind of, the reasons and the rationale and the safety and the benefits of it. At the end of the day, you know, if you look back at kind of other infectious diseases, in the past like smallpox and polio and things like that and how vaccination has obviously had a huge impact and made a massive difference on them, effectively eradicated those sorts of illnesses. I think you know it's, it's common sense that you should do that with other issues and diseases as well. So, yeah. Yeah, I don't think there's ever a decision that we wouldn't get a door, and I think we would always kind of support routine screening definitely"
ts12_35,"Yeah. Yeah, absolutely. Um, so that's actually that was kind of my last questions.Thing that I just like to sort of close on is just a general, is there anything that you want to say about the flu, or the flu vaccine, vaccination in general, just anything that I didn't ask about that you were hoping to get the chance to speak to?","And I don't think so, to be honest. I mean, I think it's important that kind of primary care and the GPS, pharmacies, etc. get behind it and make sure that the do prompt people. Because I think I do worry that sometimes people aren't particularly motivated or they've got other issues going on that they will just think it's not a priority. So I think we probably do need to do more. And this is kind of a public health issue as well, around how we promote and encourage people to come forward and get the various vaccines, you know, for, for any sorts of issues really but, but flu included. I think people probably don't see flu as big of a priority as some of the other childhood vaccinations, simply because they might think that the kids are less at risk or, you know, less likely to have a have a kind of serious issue as the result of flu, whereas all elder elderly people might be more vulnerable. So I definitely think there's some issues around that and it'd be interesting to see the findings of your, your study really understand some of the kind of parental perceptions around all of that. What are the kinds of reasons and barriers and challenges and issues for not for not getting it? And whether you know things like incentives and things like that could work, perhaps as well for more socio-economic issues and deprived areas and things like that, you know, where we know that the takeup isn't as good as good or as high. So yeah, I'm interested in all of that in terms of the kind of the breakdown of that of takeup or and things like that. I don't specifically lead on vaccines and screening within the team, but other members do when, you know, they kind of get all the data and all the figures and things as well. Obviously we promote it heavily within the workplace is kind of how we support our older employees and other businesses that offer it as well and encourage people to get it work if it's more convenient for them as well."
ts12_36,"Ya know, that is, it is really interesting stuff. An interesting you said thing you said was about coronavirus and how everybody is taking respiratory illness, a little more seriously. Now I, you know, I hope that that can be a lesson that comes out all this, but a part of me worries that it might actually have the opposite effect because people may be looking at the coronavirus and saying, ""well, you know, at least it's not, you know, at least flu, isn't that"" you know?","Sure. Yeah, no, that's a bit of a concern, isn't it really as to kind of which way it might go and whether it makes people more concerned about flu this year, thinking, ""oh, well, you know, is another equally dangerous and and harmful virus. I'll definitely get my immunization this year And likewise, I'll get the kids vaccinated as well to give us the best possible outcomes"" If you know, coronavirus may be coming back or whatever it may be, not wanting to have a kind of double headed outbreak of current affairs and flu at the same time, and the impact that will have on the health services, there could be some of that going on. But as you say it could go either way and make it will think, ""oh, well actually clue is not really that bad anymore. I just need to focus on coronavirus I won't bother."" So that'll be really interesting, actually this year and think about how, what the what the immunization rates look like early on and whether we need to do a bit more. The push to really raise its profile again, in light of in the wake of coronavirus. Yeah, yeah, we'll have to think about that for a public health point of view as well."
ts12_37,"Although hopefully everybody is washing their hands, much more than they were before.","Right, yeah."
ts7_0,I understand the information collected during the interview may be shared with other researchers for use and future research or teaching purposes and that the data will be thoroughly anonymize first,Yeah.
ts7_1,"Yes. Excellent. There are just two other things here. If you would like to receive a copy of the research findings. Upon completion of this study, you can tell me that. Now, or you can email me. You know what I'm",Interested
ts7_2,"And if you'd like to receive a hard copy of the study documents by mail. I'm happy to send those to you, but I would need your mailing address for that.","Now, that's fine enough. Great. Okay."
ts7_3,"All right, so that's that way. So we can go ahead and get started here. So you have one child. Is that right or one child in the age group?","That’s right, one child."
ts7_4,"Can you tell me a little bit about them. What's their name? How old are they? All that, all that good stuff.","He's a little boy called [Child], he is four and a bit now, due to start school in September. He was very premature and so that's something that we take into account when we're thinking about things like his health, but he hasn’t got any lasting effects from that."
ts7_5,"Okay, yeah. And how's he doing, he hasn't he hadn't started reception yet, right? So he's been home through all this?","Yeah, thats right."
ts7_6,"Uh huh. Oh, nice. Yeah. How has he been enjoying having everyone at home most of the time now?","It's been interesting. He's coped quite well with it to be, to be fair. But he was able to go back to his nursery three weeks ago and he's absolutely loving being amongst some of his peers. With him being an only child. It's a bit boring for him to be home with us all the time."
ts7_7,"Yeah, that social interaction with kids his age, I'm sure that's that's very important. I think a lot of the time for for young children, it's almost harder for the parents to adapt to the change than it is for the children.",Mhm
ts7_8,"So can you tell me a little bit about what you know about the flu? Sort of your first impressions when you hear the word flu, any symptoms, kind of, what do you think of when you hear the word flu?","And well I think flu is quite a, quite severe illness really. And I believe I've only had proper flu once. I think the word flu gets bandied around quite light heartedly sometimes when to me, proper flu is it, is a is, an illness that brings coughing, trouble breathing, kind of cold symptoms, but my experience of it was basically a week of being really, really ill. So like I say that was only once in my life. It's, it's, it's something serious and it obviously can have potential complications like pneumonia. So it's not something that I would take lightly. personally"
ts7_9,"Yeah. So do you worry about [Child] getting the flu or is it something that you think is mostly a concern for adults, or can you give me a sense for that?","Um, I don't know whether I i would say I worry about him getting it. And I think it's probably unlikely that he's gonna get it. It is a is a seasonal thing every year, isn't it. So there is always the potential."
ts7_10,"Yeah, sure. So it sounds like what you're saying is, like, it's not something you are actively worrying about but its not something that, you know, you would ever want him to have.","Mhm, yeah."
ts7_11,"So can you explain to me what do you think getting sick with the flu is like specifically for children like what, what would you expect to see if your son was getting the flu?","I'm not, I'm not really sure whether I have an expectation of that. I assume he would present with usual cough or cold kind of symptoms, but be very ill with that for a.. Well not very ill, but more than a normal cold if that makes any sense. I don't particularly know anything really about how flu would affect a child versus how it would affect an adult. But again, like I said with with him being very premature, he was born at 29 weeks gestation, and he had chronic lung disease due to ventilation and and obviously lung immaturity. And so anything like that, although we don't believe he has any lasting complications from that, there is that little bit of that at the back of me mind going ""Well, I wouldn't really want him to get something that's going to be heavy on the chest"". [Inaudible]... even if [Inaudible]... speak well...[Inaudible]."
ts7_12,"Yeah that makes sense why, you know, even if there's no lasting effects I can see why you wouldn't you know you wouldn't be wanting to take any chances with it.","Yeah, I think it's just something that kind of in the back of my mind really"
ts7_13,"Yeah. So do you know anyone whose child has gotten sick with the flu, maybe like any of his friends or, you know, people that you know with children who might be around his age?","No, I don't think I do, to be honest."
ts7_14,"Yeah. So when you want to learn about a sickness, like the flu, where would you go to get that information",The NHS website.
ts7_15,"The NHS website. Are there any others that you use, or is it just straight to the NHS?","Just straight to the NHS. Its just, I'm fully confident in the information that will be on there and that things will be accurate. I mean, you can you can troll around the internet and find all sorts of stuff. You know, if I'm, if I'm looking for something like that. I've got to go to something that I'm sure is a trusted source."
ts7_16,Yeah sure that that makes sense to me. Have you ever talked to [Child]'s GP about the flu or any like medical professional at all?,"No, I don't think I have. No."
ts7_17,Okay. So my next few questions are to help me learn my your thoughts around the flu vaccine and kind of whether or not it's something that would be beneficial for your child. So what do you think the benefits of the flu vaccine are?,"Ah well, it, it just, it just removes some of the risk of him getting ill. I mean, obviously I am aware that that strains of flu are many and varied and that they change every year and that the flu vaccine is only going to be efffective against a percentage of those. It, it just removes some of the risk of him getting really quite ill. Bit of a no brainer for me."
ts7_18,"Yeah, absolutely. No, that does sound like a benefit. So I guess when you think about the benefits you thinking, mostly about the benefit to his health. Like, do you see any sort of other benefits or is it just straightforward. You know, he's not going to get sick, so he's going to be healthier.","Ah, I've probably never particularly thought much beyond that, really. I mean, that is that is my number one concern. I have, I don't really have an understanding of how things like herd immunity and reducing spread in the community can be beneficial and not beneficial to those who cant have it. Obviously I understand that thats significant with things like measles. So I assume there to be some kind of element of that with with the flu vaccine as well. But, to be perfectly honest, if you hadn't asked me the question I probably wouldn't look at it ;ole that."
ts7_19,"Yeah, no, that's, that's great to know, you know, it's, I'm just trying to figure out sort of what the, what the most important parts are so it's good to know that. You know, it makes sense to me, you think flu is serious, get the vaccine, like you said, it's kind of a no brainer.",Yeah.
ts7_20,"So if you want to learn about a vaccine, like whether it, you know, whether it would be beneficial for your child, whether it's something he needs, something he doesn't need, where would you go to get that information?","Um, I probably have an inherent trust of vaccinations and if, if the health community are advising me to have a vaccination for my child, then it's it's not it's not really something I'd look a great deal further into, I don't think. Um, if the GP, If the NHS are telling me that this is a vaccine that they advise my child to have, then I'm pretty much okay with that."
ts7_21,Yeah.,"I don't think I've ever actively gone and looked at any more detail beyond that, to be honest."
ts7_22,"Sure. So it sounds like what you're saying is it's just, you know, if a GP recommends it to you or if some other medical professional recommends it to you, that's kind of all the all the extra information you need to be worth it.","Yeah. For something to be on a on a childhood vaccination schedule, then that's gone through all kinds of levels of consideration and whether thats medical, whether thats ethical. All of those kinds of decisions, I think probably have been made by people with much more of an understanding of everything that I do. I'm lay when it comes to medicine. So I'm pretty happy to take their word for it, if that make sense."
ts7_23,"Yeah no absolutely it just sort of trust. You know, trust the medical experts, essentially, is what it sounds like you're saying.",yeah.
ts7_24,So sort of related to that. Do you think there are any downsides of having your child get the flu vaccine?,"No. No it's, it's a quick and painless thing then its over in a second. I wouldn't have expected him to have any after effects because of it and that’s whats happened, that’s whats bourne out. So no downside to it."
ts7_25,"Sure. Um, so have you ever talked to a medical professional about the flu vaccine. Specifically, kind of, how did you... I guess what I'm trying to learn here is like how did you know that [Child] could get the flu vaccine? Was that a conversation you had with someone? did you, you know, get a letter? Did you find out online?","It, we, I think, yeah, we had, we had a letter inviting him. Actually, this, this has made me think a bit more now because I did look into whether he could have it at a younger age. Um, sort of like the one to two year range. Yeah, kind of that range because of, because of the circumstances of birth and that was something that I did look into. So I did get in touch with his GP and asked whether that was possible. I think, I think it's only kind of children with with specific conditions and stuff like that that are eligible for that. And it turned out that he wasn't. So that that was a conversation that I had with... That would have been the GP, yeah. But as far as and when he was eligible and and I got the letter off that it was available for him. Then I didn't have any any conversation with anyone about that."
ts7_26,"Yeah. So, once you decided to have him vaccinated for the flu this year. Can you walk me through the process of what it was like. You know, to get the vaccination. Was it very simple, you just phone the GP, you had an appointment, you brought him in? Or was it, you know, a little more complicated than that?","No, it was, it was, it was absolutely straightforward. Got the notification through the post and gave them a call, booked an appointment, went in and then showed up for it. The nurse was, the nurse out our practice is lovely and and it was just a very quick and simple, couple of drops up the nose and he was done, got to the end of it and everything was hunky dory."
ts7_27,"Yeah, that sounds about as easy as it can get. So how important was it to you, you know, when you got that letter that said he can get this vaccine. How important was it to that he get it? Was it something that you were like picking up the phone, I'm going to ring them right now and get this appointment? Or was it something you were more like well you know if the opportunity arises will do it?",Ah I think I probably arranged the appointment that day.
ts7_28,Yeah?,"Yeah, more or less straight away. Yeah."
ts7_29,"Yeah. So it sounds like I'm just sort of based on everything that you said, I'm just trying to make sure I'm understanding you correctly, it sounds like you know you have faith in vaccination and in medical professionals. So you're, that faith kind of motivates you to seek out that protection, whenever possible, is that, does that sound accurate to you?","Yeah, yeah."
ts7_30,"So I do have a few other questions that you've sort of already spoken to, you've been pretty clear, but we'll just kind of go through them in case you have anything to add about them. So has has [Child] received any other vaccinations, like the childhood ones?","Yeah, yeah he's fully up to date with all of that."
ts7_31,Yeah. And how did you decide for that he would have those vaccinations? Or do you feel like it even was a decision?,"Uhm I, for me it wasn't really a decision I needed to make. It was, it was a foregone conclusion. And for me, and I did check in with what his dad thought, what is that thought at the time, and he was on the same page, so that was, was just not, not yet, not, not really a decision."
ts7_32,"Yeah, just, you know, it's recommended. It's the thing kind of that you're supposed to do. So you just sort of do it.",Yeah. Yeah.
ts7_33,Have you personally had the flu vaccine this year?,"Yes, I have. I've paid for the vaccine for quite a few years now, and my other half gets it free, because of his previous medical history. So it's something that that we've kind of done and I kind of shoehorn him to get on with it, get cracking. It, actually me, me getting the vaccine this year was more upseting for [Child] than him getting his own"
ts7_34,Oh yeah? In what way was that?,"Well, yeah, we were, we were sitting there in, I think I got it done at the local Tesco. I was sitting there and he was, he was on my knee and he saw the needle coming towards my arm, and it really, really scared him. Like ""wow! Dont worry, they're sticking it in me not you!"""
ts7_35,"Well, it's nice that he was, he was looking out for you didn't, didn't want anybody getting any injections that day. So he when he was vaccinated, he had the nasal spray, Is that right?",Yeah
ts7_36,"So do you think that him having a nasal spray. Like, do you think it would have been kind of a more difficult experience for you and for him if he had needed to get an injection or do you think, you know, what do you think had the setting been a little different?","Ah I think, I think he would still get freaked out, a bit freaked out more than he did with the nasal spray but that would have been very quickly. And again, that wouldn't stop me, yeah."
ts7_37,"Yeah. Yeah. So yeah, so I can imagine that as a parent, when your child needs an injection. You know you it's unpleasant for them, of course, but you sort of know that now in 20 minutes. They're going to be fine. They will have forgotten about this whole situation.","Right, right. Yeah."
ts7_38,"Yeah, but that's nice that you had the nasal spray so that you could sort of avoid that whole, that whole episode. So that's all the questions that I have. So kind of what I like to close with is just asking, is there anything else. That you'd like to say about the flu or the flu vaccine or vaccination in general just anything that I didn't ask that you were hoping you could speak to","And I don't think so. I mean, the possibly, the only other relevant bit of information really is that my mum's a nurse. So I've grown up around hospitals and around, you know, that. And so I think that is quite a big part in my thinking about how much trust in, in the institutions and that's the only other thing, right."
ts7_39,"Yeah, no, that's interesting. So you think just because you've been, you know, sort of, since since you were young exposed to kind of people who people who had faith in medicine, you know, as a nurse, of course. She of course has faith in medicine.",Yeah.
ts7_40,So you think that it was sort of something that it was the environment you grew up in that sort of instilled those values and you?,"Yeah, yeah, that's how it said i think that's that's probably the reason that it. It wasn't even a decision to make is that that's, that's what I know. That's what I brought up with that and I've never had any reason, despite being through some interesting medical situations. I've never had any reason to lose that bit of faith."
ts5_0,"So we'll start with the consent process here. So what I'll do is I'll read you a series of statements and if you could just say, Yes, I agree. Or no, I don't agree to each one. So I confirm that I have read the information sheet for this study. I have had the opportunity to consider the information asked questions and have had these questions answered satisfactorily.",I agree.
ts5_1,I understand that my participation is voluntary and that I can withdraw at any time without giving any reason. I also understand that I can decline to answer any questions during the interview.,I agree.
ts5_2,I understand the information collected during my interview may be looked at by other researchers from Newcastle University who are working on or assisting with the study I give permission for these individuals to have access to this information.,I agree.
ts5_3,I understand that information collected during the interview may be shared with other researchers for us in future research or teaching purposes and that the data will be thoroughly and anonamyised first,I agree
ts5_4,"I understand the direct quotation may be taken from what I say and used in research or publication, but that I will not be identifiable from these quotations.","Yes, I agree."
ts5_5,I agree to take part in this study.,I agree.
ts5_6,"Excellent. And then there's two things here. If you like to receive a copy of the research findings. Once the study is completed. You can either let me know now or at any point by email, you know, after the interviews completed.","I think it will be quite interesting, actually. So, yes. Yeah. Yes."
ts5_7,"Yes, so I will send you those once the studies finished, which will be by the end of August. I'll send them to your email address.","Okay, thank you."
ts5_8,"And if you would like to receive a hard copy of this documents you can let me know now or after the study, but I will need your mailing address so that I can send you all those",That's fine email. Email would be fine.
ts5_9,"Alright, so that's out of the way so we can go ahead and sort of dive in here. So in your expression of interest survey. You said you had two children. Is that right, and what are their names?",[Older Child] and [Younger Child]
ts5_10,"[Older Child] and [Younger Child] and one of them is three years old, and the other is four Is that right?","That's right, yes."
ts5_11,So has the four year old started school yet or no?,"Yes, her birthday falls just on the last day of the cutoff. So she started school in September, reception."
ts5_12,"Yeah, how is she liking it so far?","She was loving it. I think she gets tired and you know that i think they all do, just, you know, on a five day week, gets tired. Then by the end of term she is just shuttered. and we've done homeschooling since 23rd of March, and I think she started enjoying that, I think. She only went back to school yesterday. I think it was time to go back to school and I think she was sick of us. Sick of us, sick of her sister. I think we've worked hard than the school, to be honest. Yeah, but you know, that's that's par for the course. And so, yeah, she loves school and [Younger Child] goes to the nursery at the school so they're in the same place normally."
ts5_13,"Oh, that's nice. Yeah, I think for kids their age, so much of it is like the social aspect is, you know, being around other kids and other adults, you know, their teachers and stuff. Things that normally they dont have contact with and homeschooling is hard on everyone, I think. Yeah.","Yeah, I would agree with that."
ts5_14,"You suddenly become a teacher and they suddenly lose all those, you know, all those experiences that they like.","And they don't respect you as a teacher, either. So getting them to do what you want them to do is actually a lot harder. They challenge you more than they would a teacher in a school, they challenge you. You just have "" I dont want to do that. I want to play. I want to do this"" so its been fun."
ts5_15,"Have they gone back now, or?","No only, only [Older Child] has gone back and she's only back Thursday, Friday. This week, Monday, Tuesday next week and then for the last two weeks of term she's in her for half days. [Younger Child] doesn't, they wouldn't hold nursery because there weren't enough children, which I get. Which is fine. When they're on their own, they're fine."
ts5_16,"Yeah, I grew up, when I grew up, my mum had three boys. We were all close in age and she has been saying throughout this whole process that she's just so incredibly grateful that lockdown happened once we were adults because had she been having the three of us stuck at home for a couple months she would have gone crazy. So you know, I, I appreciate the fact that this has been, you know, quite a, quite a month. A couple months.","Yes, but it's, you know, up to us. I say all that, but it's been very rewarding because we because we both work work full time. And the amount of time we actually get to spend with them through the week is very limited. You know, you get that half hour, 45 minutes in the morning. And then you get an hour, maybe when they come in from school that they were home from work. So the time we get together as a family is quite limited. Normally, so this has actually been very, very good experience so a point of note. The one side has been very challenging, but on the other, just been very rewarding as well."
ts5_17,"Well that's nice that. Yeah, that's a nice kind of silver lining to it.",yeah yeah
ts5_18,"Yeah, so could you tell me a little bit about what you know about the flu? like when you think of flu what as far as symptoms. Is it serious thing that kids get? kind of any thoughts you have there.","So I suppose really my only experience of it is in adults. And so, and personal experience, that it's completely debilitating. So when people say, you know, they've been off work for a few days and come back and say ""I've had flu."" No, they haven't they've had cold. Because anybody who's really had flu knows it's, it's nasty, it completely wipes you out. And actually it's not just when you first aquire it, you know actually take a few, few days to recover just your physical strength. Because when I've had it, I think I've only had it twice in me life, which I've been pretty lucky, and I'd been wiped out for a couple weeks. And so, you know, I appreciate the seriousness of it. I've not had any underlying health conditions. So I don't, I've never considered it is dangerous for me. But equally, I wouldn't like my elderly parents have both at heart conditions to get it. And so I do recognize that it can be quite serious. I don't know if it's deadly if I'm honest. I guess there are strains of the flu, like you know different epidemics and pandemics in, and in history, where they have been nasty like Spanish flu and all of that. But I don't know if, I don't know if they're just special strains or individual strains or if they were like what I would consider 'normal flu'. Is deadly to a healthy person. But should I be sayin that, given where we are at the moment? Me own husband's been in intensive care with this one. So."
ts5_19,"My goodness, wow.","So, you know, we take it serious."
ts5_20,"Yeah. And has your, has your husband recovered? Is he doing a bit better now?","Yeah, he's fine now. He was in during Easter, over the Easter weekend. He was in hospital but he, he caught this virus. And we both had it up. I finished work when I first stoped work. Ah, stopped when I first started remote work, and I had it. But I was ok, and then [Husband] got it just after me. And he just went rapidly downhill there he was, could absolutely, could not breathe. I ended up, because my manager at work is [Manager]. And [Manager] was ringing me up at home sayin ""Hows his breathing? Hows that? [Manager] at the finish said that, ""if you see any, any change in his breathing you must ring 999"". And that afternoon I came up, he was asleep and then about 20 minutes later I went in the room and he just couldn't breath at all. So I rang 999 and they took him literally straght in and then he was in intensive care for two weeks."
ts5_21,"Wow. Well, I'm, I'm so glad to hear that he's alright and that you were too.","Absolutely fine, he's fine now."
ts5_22,That that is terrible.,"Yeah, so really we take flu very seriously in our house."
ts5_23,"I'm sure. I'm sure that, I'm sure that when you have a, you know, a respiratory disease like that. And it's, it gets so serious that you've been in hospital, you wouldn't want to take any chances with anything ever again.","No. But in fairness, we would have taken it seriously before that happened. That's just another example of you know, ""right okay, in future we'll be very, very careful."" So, yeah."
ts5_24,"Yeah. Um, so kind of similarly, is flu something you worry about your children getting? Or is it mostly something you worry about for adults?","To be honest, I've never really thought about children gettin flu and how, how badly they would get it. I would, you know, I don't know. You know, you never know if they're going to have underlying health conditions like asthma or something like that. So take it seriously. I mean, when they've had colds, you can tell the difference, can't you? When they're not well, you can see that they're headachey, that they're wingey. Or they get a cold and it's just a little, you get the traditional green candle kind of thing and so you can tell the difference. But I've never, you know when they've been unwell I've never considered it to be flu, just been unwell normally or been something else viral, not the flu. But I don't know about in terms of children, I don't know if children can get proper flu. But then theres flu vaccination for them, so they must."
ts5_25,"Yeah, so would you, like can you, like, can you imagine what you think, if you were looking at one of your children. They're getting sick. What sort of things would you expect to see if they were getting flu or would you not really know what to look for?","Uhm I would be looking for them, or listening for them telling me they had any headaches and you tend to be able to tell right away if they're feeling wingey. You know, your north or clingy and unwell.Temperature. Definitely. You can always tell when the start getting a temperature, visibly before getting a thermometer out. You can tell quite easily. But you just look for the kind of, you just know they're not themselves. They might be a lot more lethargic, they be complaining that things are hurting. Like I say, headaches. I would be giving them calpol. That's probably the steadfast cure for everything, a bit of calpol. Just give them a bit of calpol and put them to bed. And would be my, you know thats my observations of what we do with them anyway."
ts5_26,"Yeah, I've heard from from so many parents that with children of this age, it's so much more about like interpreting what you see, rather than having them tell you. So do you know anyone whose child has gotten seriously ill with the flu or has gotten the flu?",No I don't.
ts5_27,"Yeah. If you want to learn about a sickness, like the flu or, you know, another kind of illness like that, where would you go to get that information? So if you want to learn like symptoms or how to treat it at home like that kind of stuff.","So I use the NHS net. I just go on the internet. Normally it will point you through. It obviously picks up a lot of American websites. WebMD often comes up as one of them. I tend to go to the NHS ones because obviously the rules are different in the UK as to what you can treat things with. And so I tend to look on on NHS net if if I'm looking for anything on you know, I'm not sure about something, like when they get them, you know, a strange rash appears on them, I go on there to see if I can find out what it looks like and that kind of thing."
ts5_28,Yeah. Have you ever talked to your child's GP about the flu or to any other medical professional about flu and how it could affect your child?,"We, so talking to the less than, well no. We have had correspondence from the school and from uh, that must be the health visitor actually. They write to you when they're due for the checks and they point out, you know, the, the reasons why you should get your child vaccinated. So I haven't actually had a conversation with them about it other than once I've gone into the surgery with them."
ts5_29,"That's great. Um, so what do you think the benefits are of having your child get the flu vaccine?","Um, so I do understand that when they get the vaccine, it's not necessarily a guarantee they wont get flu, but it vastly reduces the possibility that they will. I also have a kind of underlying hope that if they've had the vaccine and the do get flu they wont have it as badly."
ts5_30,Mm hmm.,"I don't know. I don't know if I'm just being optimistic there. So yeah, then the two things I think that they won't get the flu. Therefore, we'll have a healthier household, you know all fit well and we can carry on life as normal. So for them, they're not sick. Because of, you know, I don't particularly want them to get sick, but also for us it's, it's, it means your life and continue on as normally. You don't miss out on school and all the learning opportunities because [Younger Child] is just in nursery. And we don't miss out on work because if one gets it, then we would all have it."
